Job Title,Company Name,Location,Job Type
Electronics Engineers (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Manager - Product Engineering,POWERTECH -,"Dubai, United Arab Emirates ",Full Time
Senior Engineer – Energy Transition & Infrastructure,Perle -,"Riyadh, Saudi Arabia ",Full Time
Civil Engineering Technician (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Security Engineer,Vectra AI -,"Riyadh, Saudi Arabia ",Full Time
Lead Engineer,Zywa -,"Dubai, United Arab Emirates ",Full Time
FrontEnd Software Engineer (Remote),Keystone Recruitment -,"Riyadh, Saudi Arabia ",Freelance / Project
Lead Data Governance Engineer,Canonical -,"Riyadh, Saudi Arabia ",Full Time
FrontEnd Engineer - Angular,Fathom.io -,"Riyadh, Saudi Arabia ",Full Time
Junior Linux Kernel Engineer - Ubuntu,Canonical -,"Makkah, Saudi Arabia ",Full Time
Data Engineer II,Mozn -,"Riyadh, Saudi Arabia ",Full Time
Software Engineer - Solutions Engineering,Canonical -,"Riyadh, Saudi Arabia ",Full Time
Data Scientist (NLP Deep Learning Engineer),Revolut -,"Dubai, United Arab Emirates ",Full Time
"Dedicated Cloud Support Engineer, Saudi Arabia",Canonical -,"Makkah, Saudi Arabia ",Full Time
Automation Test Engineer,Infosys -,"Riyadh, Saudi Arabia ",Full Time
"Software Engineer, Backend (Golang)",1inch -,"Dubai, United Arab Emirates ",Full Time
Forward Deployed Engineer | New Graduate,Gecko Robotics -,"Dubai, United Arab Emirates ",Full Time
Software Engineer - Go - Container Images,Canonical -,"Makkah, Saudi Arabia ",Full Time
Linux Desktop & Devices Support Engineer,Canonical -,"Makkah, Saudi Arabia ",Full Time
Chief Technology Officer,Smart Gate Solutions -,"Maadi, Cairo, Egypt ",Full Time
Lead Electrical Engineer - Extra High Voltage (EHV),"KBR, Inc. -","Riyadh, Saudi Arabia ",Full Time
Proposal Engineer (Medium Voltage Switchgear) @ Siemens Abu Dhabi,Siemens -,"Dubai, United Arab Emirates ",Full Time
Backend Engineer [UAE Nationals],AI71 -,"Dubai, United Arab Emirates ",Full Time
Senior Data Engineer | Dubai,Moove -,"Dubai, United Arab Emirates ",Full Time
Engineering Manager - Data Platform,Canonical -,"Riyadh, Saudi Arabia ",Full Time
AI Engineer,U X E SECURITY SOLUTIONS L.L.C -,"Dubai, United Arab Emirates ",Full Time
QA Automation Engineer- Arabic Speakers,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / Project
Head Of Technology,Saudi Tracking Solutions -,"Cairo, Egypt ",Full Time
Alliances Field Engineer,Canonical -,"Riyadh, Saudi Arabia ",Full Time
Solutions Engineer -  Riyadh KSA,Cisco -,"Riyadh, Saudi Arabia ",Full Time
"Vice President of Product Engineering, 2 Hour Learning (Remote) - $400,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
Machine Learning Engineer,Mozn -,"Riyadh, Saudi Arabia ",Full Time
Data Engineer – Data Warehouse / Lakehouse,Global Solutions - GS Oman -,"Muscat, Oman ",Full Time
Senior Data Engineer – Data Warehouse / Lakehouse,Global Solutions - GS Oman -,"Muscat, Oman ",Full Time
"Salesforce/NetSuite Engineering Manager, Commercial Systems",Canonical -,"Dubai, United Arab Emirates ",Full Time
AE - Document Controller,Energy Job Search -,"Dubai, United Arab Emirates ",Full Time
Manager - Solution Engineering,Inception -,"Dubai, United Arab Emirates ",Full Time
IT Helpdesk Engineer,Tamara -,"Riyadh, Saudi Arabia ",Full Time
ISG Mechanical Engineering Manager,Lenovo -,"Riyadh, Saudi Arabia ",Full Time
ISG Mfg Program Management Engineering Manager,Lenovo -,"Riyadh, Saudi Arabia ",Full Time
Systems Engineer,RUCKUS Networks -,"Dubai, United Arab Emirates ",Full Time
Space Infrastructure Software Engineer,Orbitworks -,"Dubai, United Arab Emirates ",Full Time
Senior Full Stack Developer (.NET and Angular),DEVOPSOLUTION -,"Nasr City, Cairo, Egypt ",Full Time
"QA Automation Engineer (Riyadh, KSA)",FileCloud -,"Riyadh, Saudi Arabia ",Full Time
GitOps Engineering Manager,Canonical -,"Riyadh, Saudi Arabia ",Full Time
HPC Software Engineer,Canonical -,"Dubai, United Arab Emirates ",Full Time
Software Engineer - Python - Container Images,Canonical -,"Riyadh, Saudi Arabia ",Full Time
DEVOPS ENGINEER (REMOTE),Jobgether -,"Dubai, United Arab Emirates ",Full Time
Field Service Engineer,Hitachi Energy -,"Dubai, United Arab Emirates ",Full Time
Linux Software Engineer - Ubuntu for Next-Gen Silicon (multiple roles and seniority levels),Canonical -,"Riyadh, Saudi Arabia ",Full Time
Technology Solutions Advisor (Pre-Sales),MegaSoft -,"Heliopolis, Cairo, Egypt ",Full Time
Lead Testing & Commissioning Engineer,Energy Job Search -,"Dubai, United Arab Emirates ",Full Time
Engineering Manager- Ceph & Distributed Storage,Canonical -,"Dubai, United Arab Emirates ",Full Time
Field Support Engineer,ParamInfo -,"Ras al-Khaimah, United Arab Emirates ",Full Time
Lead of Engineering - Remote,Jobgether -,"Riyadh, Saudi Arabia ",Full Time
Technical Content Writer (Developer Blogs & Tutorials – B2B SaaS),"CC Global Group, LLC -","New Cairo, Cairo, Egypt ",Full Time
Software Engineer - Data Infrastructure,Canonical -,"Makkah, Saudi Arabia ",Full Time
"Python Engineering Manager, Commercial Systems",Canonical -,"Riyadh, Saudi Arabia ",Full Time
Engineering Manager - Core Services,Kraken -,"Dubai, United Arab Emirates ",Full Time
Applied AI Engineer,Deriv -,"Dubai, United Arab Emirates ",Full Time
Research Engineer Intern,GenBio AI -,"Dubai, United Arab Emirates ",Full Time
Data Scientist - Engineering & Architecture,AECOM -,"Dubai, United Arab Emirates ",Full Time
"Senior Software Engineer, UAE (Contract to Hire)",odiggo -,"Dubai, United Arab Emirates ",Freelance / Project
Software Engineer - App Stores,Canonical -,"Riyadh, Saudi Arabia ",Full Time
Product Portfolio Manager,Confidential -,"Giza, Giza, Egypt ",Full Time
"Senior Quality Assurance Automation Engineer, IgniteTech (Remote) - $100,000/year USD",Crossover -,"Dubai, United Arab Emirates ",Full Time
Senior Network Operations Engineer (Core42),Core42 -,"Dubai, United Arab Emirates ",Full Time
Lead Engineer - HPC Operations (Core42),Core42 -,"Dubai, United Arab Emirates ",Full Time
Product Owner - Operations AI & Digital Transformation M/F,Allianz Partners -,"Dubai, United Arab Emirates ",Full Time
Head of Training,Foreground. -,"Riyadh, Saudi Arabia ",Full Time
Medical Specialist (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Economics Professor (Remote),Nexus Consulting -,"Dubai, United Arab Emirates ",Freelance / Project
Program Manager (Non-Profit) - Remote,Nexus Consulting -,"Dubai, United Arab Emirates ",Freelance / Project
Mechatronics Technician (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Project Manager,Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Claims Associate (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Research Assistant (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Chief Executive Officer (CEO/Founder),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Geology Field Technician (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
GIS Specialist  (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Agricultural Scientist (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
H R Consultant (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Public Health Coordinator (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Casino Operations Manager (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Banking Operations Lead (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Systems Administrator (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
EHS Specialist (Remote),Nexus Consulting -,"Riyadh, Saudi Arabia ",Freelance / Project
Medical Specialist (Remote),Keystone Recruitment -,"Riyadh, Saudi Arabia ",Freelance / Project
Safety Officer (Contract) - Dubai,WeRide -,"Dubai, United Arab Emirates ",Part Time
Product Validation Expert (Remote),Keystone Recruitment -,"Riyadh, Saudi Arabia ",Freelance / Project
Safety Officer (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Research Assistant (Remote),Keystone Recruitment -,"Riyadh, Saudi Arabia ",Freelance / Project
Chief Executive Officer (CEO/Founder),Keystone Recruitment -,"Riyadh, Saudi Arabia ",Freelance / Project
Consultant,Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Program Manager (Non-Profit) - Remote,Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Operations Managers (Remote),Keystone Recruitment -,"Riyadh, Saudi Arabia ",Freelance / Project
Casino Operations Manager (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Banking Operations Lead (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Graduate – Artificial Intelligence (Emirati National),WSP in the Middle East -,"Dubai, United Arab Emirates ",Full Time
Founding GTM Lead,Zywa -,"Dubai, United Arab Emirates ",Full Time
Business Development Representative (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
IT Project Manager,SoftwareOne -,"Riyadh, Saudi Arabia ",Full Time
Program Manager,Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
GIS Specialist  (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Systems Administrator (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
H R Consultant (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Project Manager,Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
"Principal Account Executive, AWS Public Sector Saudi Arabia",Amazon Web Services (AWS) -,"Riyadh, Saudi Arabia ",Full Time
Project Manager (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Certified Occupational Therapy Assistant (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
EHS Specialist (Remote),Keystone Recruitment -,"Dubai, United Arab Emirates ",Freelance / Project
Senior Account Specialist [Sales],Envision Employment Solutions -,"Riyadh, Saudi Arabia ",Full Time
Data Scientist,1inch -,"Dubai, United Arab Emirates ",Full Time
Linux Cryptography and Security Engineer,Canonical -,"Dubai, United Arab Emirates ",Full Time
Research Assistant (Remote),PULSE MEDIA (MENA REGION) -,"Riyadh, Saudi Arabia ",Full Time
"Senior Account Executive, Saudi FSI Market",Mozn -,"Riyadh, Saudi Arabia ",Full Time
Director Sales,Abacus -,"Tabuk, Saudi Arabia ",Full Time
Vice President of Global Sales,CASABOT® -,"Dubai, United Arab Emirates ",Freelance / Project
Partner Sales Manager - IHV Alliances,Canonical -,"Makkah, Saudi Arabia ",Full Time
"Director of Business Development, Middle East",Shield AI -,"Dubai, United Arab Emirates ",Full Time
Presales Lead/Solution Architect,Harrison.ai -,"Riyadh, Saudi Arabia ",Full Time
IT Applications Manager,Union Properties Career -,"Dubai, United Arab Emirates ",Full Time
Business Development Manager- (Robotaxi experience is a must),Beyond-ED -,"Dubai, United Arab Emirates ",Full Time
Entry-Level IT Support Staff,OnHires -,"Dubai, United Arab Emirates ",Full Time
Renewals Specialist,Cisco -,"Riyadh, Saudi Arabia ",Full Time
Program Manager - Testing,Netcracker Technology -,"Dubai, United Arab Emirates ",Full Time
"Senior Vice President, Client Strategist",BNY -,"Riyadh, Saudi Arabia ",Full Time
Customer Success Manager - Dubai,Datadog -,"Dubai, United Arab Emirates ",Full Time
Business Development Manager,"Super Micro Computer Spain, S.L. -","Dubai, United Arab Emirates ",Full Time
Services Presales Consultant,Dell Technologies -,"Riyadh, Saudi Arabia ",Full Time
Project Scheduler,Larsen & Toubro -,"Riyadh, Saudi Arabia ",Full Time
PYTHON DEVELOPER,Capital Motion UAE -,"Dubai, United Arab Emirates ",Full Time
Process Functional Consultant and Solution Architect - SAP Master Data Governance,IBM -,"Riyadh, Saudi Arabia ",Full Time
City Manager (KSA),Calo Inc. -,"Riyadh, Saudi Arabia ",Full Time
Manager | Integration Architect | Jordan,Deloitte -,"Riyadh, Saudi Arabia ",Full Time
Manager | DevOps Architect | Jordan,Deloitte -,"Riyadh, Saudi Arabia ",Full Time
Interesting Job Opportunity: Senior Backend Developer - C#/.Net Technologies,Massil Technologies -,"Riyadh, Saudi Arabia ",Full Time
Wellness Support Lead,Nextcare -,"Dubai, United Arab Emirates ",Full Time
Senior Solutions Architect - REMOTE,Jobgether -,"Dubai, United Arab Emirates ",Full Time
Senior Customer Success Manager - KSA,Sully.ai -,"Riyadh, Saudi Arabia ",Full Time
Customer Success Manager,UiPath -,"Riyadh, Saudi Arabia ",Full Time
Lead Operations Manager - REMOTE,Jobgether -,"Dubai, United Arab Emirates ",Full Time
Senior Applied Scientist,Inception -,"Dubai, United Arab Emirates ",Full Time
Automation Specialist (Zapier / n8n),Confidential -,"Maadi, Cairo, Egypt ",Part Time
Solution Architect – Agentic Systems,XenonStack Moments -,"Dubai, United Arab Emirates ",Full Time
Contract Recruiting / HR Operations Coordinator,Cognition -,"Riyadh, Saudi Arabia ",Freelance / Project
Business Development Manager,UpstackAI -,"Dubai, United Arab Emirates ",Full Time
Sales Manager,Maids.cc - AI & Tech -,"Riyadh, Saudi Arabia ",Full Time
Mobile Application Lead,Maaloomatiia -,"Dubai, United Arab Emirates ",Full Time
"Business Analyst, Sr",Globant -,"Riyadh, Saudi Arabia ",Full Time
ASP.Net Developer,Erpplus5 -,"Maadi, Cairo, Egypt ",Full Time
Technology Strategy/Enterprise Architect Senior Manager- Oil & Gas/Utilities,Accenture Middle East -,"Riyadh, Saudi Arabia ",Full Time
3D Artist,Analog -,"Dubai, United Arab Emirates ",Full Time
Expert Labs Delivery Consultant - Early Professional Automation,IBM -,"Riyadh, Saudi Arabia ",Full Time
Expert Labs Delivery Consultant - Early Professional Data,IBM -,"Riyadh, Saudi Arabia ",Full Time
Business Analyst,Inception -,"Dubai, United Arab Emirates ",Full Time
"Manager, Platform Architecture",Ma'aden -,"Riyadh, Saudi Arabia ",Full Time
Project Manager - KSA,Globant -,"Riyadh, Saudi Arabia ",Full Time
Senior Manager - Strategic Accounts,Inception -,"Dubai, United Arab Emirates ",Freelance / Project
Design Manager (Visual),Canonical -,"Makkah, Saudi Arabia ",Full Time
Cyber Security Specialist,Imploy -,"Dubai, United Arab Emirates ",Full Time
Senior React Native Developer (Arabic Speaker),Burjline Builders -,"Riyadh, Saudi Arabia ",Full Time
Senior Technical Program Manager - Riyadh,Newlab -,"Riyadh, Saudi Arabia ",Full Time
Head of of material management (Head of procurement),Ajax Systems -,"Dubai, United Arab Emirates ",Full Time
Assistant Category Manager.In-House Bakery,Panda Retail Company – Savola Group -,"Makkah, Saudi Arabia ",Full Time
Account Executive | Saudi Arabia,Harrison.ai -,"Riyadh, Saudi Arabia ",Full Time
Senior Chief engg. Manager Civil SS,Larsen & Toubro -,"Riyadh, Saudi Arabia ",Full Time
Education Program Manager (Efekta),EF Education First -,"Riyadh, Saudi Arabia ",Full Time
Senior Project Manager (Tech),Energy Job Search -,"Dubai, United Arab Emirates ",Full Time
WFM -Assistant Manager,Dicetek LLC -,"Dubai, United Arab Emirates ",Freelance / Project
Sales Manager,Qureos -,"Dubai, United Arab Emirates ",Full Time
Senior React Native Developer,Idaratech Platform - منصة إدارتك -,"Makkah, Saudi Arabia ",Full Time
Operations Expert (Remote),PULSE -,"Riyadh, Saudi Arabia ",Full Time
Remote Lead Manager Geomatics,Jobgether -,"Riyadh, Saudi Arabia ",Full Time
Senior Client Manager,"NTT DATA, Inc. -","Riyadh, Saudi Arabia ",Full Time
Multi-lingual Customer Success Manager,Global Payments Inc. -,"Dubai, United Arab Emirates ",Full Time
Senior Amazon Ads Expert (Remote),Jobgether -,"Riyadh, Saudi Arabia ",Full Time
Software Architect - Containers / Virtualisation,Canonical -,"Makkah, Saudi Arabia ",Full Time
Sr. Engagement Manager - 11133,Exari Systems -,"Dubai, United Arab Emirates ",Full Time
Manager - Greenfield Sales,Inception -,"Dubai, United Arab Emirates ",Freelance / Project
Project Managers (Remote),PULSE -,"Riyadh, Saudi Arabia ",Full Time
Senior Information Security GRC Specialist,"NTT DATA, Inc. -","Riyadh, Saudi Arabia ",Full Time
Business Analyst (UAE National) | Dubai,Emirates NBD -,"Dubai, United Arab Emirates ",Full Time
Research Assistant (Remote),Pulse Media -,"Dubai, United Arab Emirates ",Full Time
RS and EO Project Manager,4EI -,"Dubai, United Arab Emirates ",Full Time
Site Access Responsible,Capgemini Engineering -,"Riyadh, Saudi Arabia ",Full Time
Work from Home - Media Search Analyst (Saudi Arabia),TELUS Digital -,"Riyadh, Saudi Arabia ",Part Time
Business Development Representative (French-Speaking),Easygenerator -,"Dubai, United Arab Emirates ",Full Time
Manager - Business Operations & Strategy,Analog -,"Dubai, United Arab Emirates ",Full Time
Manager Service Delivery,C.H. Robinson -,"Dubai, United Arab Emirates ",Full Time
KAM MARINE COATINGS – MIDDLE EAST,PPG -,"Dubai, United Arab Emirates ",Full Time
IT Associate - Platinion,Boston Consulting Group (BCG) -,"Riyadh, Saudi Arabia ",Full Time
Technology Strategy/Enterprise Architect Consultant,Accenture Middle East -,"Riyadh, Saudi Arabia ",Full Time
Technology Strategy/Enterprise Architect Consultant – Banking Sector,Accenture Middle East -,"Riyadh, Saudi Arabia ",Full Time
Technology Strategy/Enterprise Architect Consultant – Telecom Sector,Accenture Middle East -,"Riyadh, Saudi Arabia ",Full Time
In-Building Solutions Regional Implementation Manager- C1,Capgemini Engineering -,"Riyadh, Saudi Arabia ",Full Time
Lead Accounting & Financial Technology Consultant - Remote,Jobgether -,"Riyadh, Saudi Arabia ",Full Time
Business Services Team Manager,Canonical -,"Dubai, United Arab Emirates ",Full Time
remote Business Development Manager - REMOTE,Jobgether -,"Dubai, United Arab Emirates ",Full Time
"Specialist, Asset Integrity &#038; Process Safety (Proj Support TM &#8211; Gas Ops",MyPetroCareer.com -,"Dubai, United Arab Emirates ",Full Time
Customer Support Specialist (Remote),Pulse Media -,"Dubai, United Arab Emirates ",Full Time
Cyber Security Specialist,RIME Platform -,"Riyadh, Saudi Arabia ",Full Time
Senior Backend Developer - C#/.Net Technologies,Massil Technologies -,"Riyadh, Saudi Arabia ",Full Time
Middle East Money & Power Editor - Dubai,Bloomberg -,"Dubai, United Arab Emirates ",Full Time
Microwave Rollout Manager,Capgemini Engineering -,"Riyadh, Saudi Arabia ",Full Time
Regional Sales Director,Illumio -,"Riyadh, Saudi Arabia ",Full Time
Sr. Marketing & Sales Executive - Remote,Jobgether -,"Riyadh, Saudi Arabia ",Full Time
